fiscal_year,quarter,call_date,source_name,source_type,url,local_file
FY2020,Q4,2020-02-13,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2020/02/14/nvidia-corp-nvda-q4-2020-earnings-call-transcript.aspx,transcripts/nvidia_fy2020_q4_2020-02-13.txt
FY2021,Q1,2020-05-21,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2020/05/22/nvidia-corp-nvda-q1-2021-earnings-call-transcript.aspx,transcripts/nvidia_fy2021_q1_2020-05-21.txt
FY2021,Q2,2020-08-19,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2020/08/20/nvidia-nvda-q2-2021-earnings-call-transcript/,transcripts/nvidia_fy2021_q2_2020-08-19.txt
FY2021,Q3,2020-11-18,StockInsights,stockinsights,https://www.stockinsights.ai/us/NVDA/earnings-transcript/fy20-q3-21d8,transcripts/nvidia_fy2021_q3_2020-11-18.txt
FY2021,Q4,2021-02-24,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2021/02/25/nvidia-corp-nvda-q4-2021-earnings-call-transcript/,transcripts/nvidia_fy2021_q4_2021-02-24.txt
FY2022,Q1,2021-05-26,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2021/05/27/nvidia-corp-nvda-q1-2022-earnings-call-transcript/,transcripts/nvidia_fy2022_q1_2021-05-26.txt
FY2022,Q2,2021-08-18,The Motley Fool,motley,https://www.fool.com/earnings/call-transcripts/2021/08/18/nvidia-corporation-nvda-q2-2022-earnings-call-tran/,transcripts/nvidia_fy2022_q2_2021-08-18.txt
FY2022,Q3,2021-11-17,TickerTrends,tickertrends,https://tickertrends.io/transcripts/NVDA/Q3-earnings-transcript-2022,transcripts/nvidia_fy2022_q3_2021-11-17.txt
FY2022,Q4,2022-02-16,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q4-2022-earnings-call-transcript,transcripts/nvidia_fy2022_q4_2022-02-16.txt
FY2023,Q1,2022-05-25,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q1-2023-earnings-call-transcript,transcripts/nvidia_fy2023_q1_2022-05-25.txt
FY2023,Q2,2022-08-24,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q2-2023-earnings-call-transcript,transcripts/nvidia_fy2023_q2_2022-08-24.txt
FY2023,Q3,2022-11-16,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q3-2023-earnings-call-transcript,transcripts/nvidia_fy2023_q3_2022-11-16.txt
FY2023,Q4,2023-02-22,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q4-2023-earnings-call-transcript,transcripts/nvidia_fy2023_q4_2023-02-22.txt
FY2024,Q1,2023-05-24,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q1-2024-earnings-call-transcript,transcripts/nvidia_fy2024_q1_2023-05-24.txt
FY2024,Q2,2023-08-23,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q2-2024-earnings-call-transcript,transcripts/nvidia_fy2024_q2_2023-08-23.txt
FY2024,Q3,2023-11-21,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q3-2024-earnings-call-transcript,transcripts/nvidia_fy2024_q3_2023-11-21.txt
FY2024,Q4,2024-02-21,The Transcript,thetranscript,https://thetranscript.net/transcript/5857/nvidia-q4-2024-earnings-call-transcript,transcripts/nvidia_fy2024_q4_2024-02-21.txt
FY2025,Q1,2024-05-22,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q1-2025-earnings-call-transcript,transcripts/nvidia_fy2025_q1_2024-05-22.txt
FY2025,Q2,2024-08-28,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q2-2025-earnings-call-transcript,transcripts/nvidia_fy2025_q2_2024-08-28.txt
FY2025,Q3,2024-11-20,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q3-2025-earnings-call-transcript,transcripts/nvidia_fy2025_q3_2024-11-20.txt
FY2025,Q4,2025-02-26,Nasdaq/The Motley Fool,nasdaq,https://www.nasdaq.com/articles/nvidia-nvda-q4-2025-earnings-call-transcript,transcripts/nvidia_fy2025_q4_2025-02-26.txt
FY2026,Q1,2025-05-28,NVIDIA Investor Relations,official_pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2026/q1/NVDA-Q1-2026-Earnings-Call-28-May-2025-5_00-PM-ET.pdf,transcripts/nvidia_fy2026_q1_2025-05-28.pdf
FY2026,Q2,2025-08-27,NVIDIA Investor Relations,official_pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2026/q2/NVDA-Q2-2026-Earnings-Call-27-August-2025-5_00-PM-ET.pdf,transcripts/nvidia_fy2026_q2_2025-08-27.pdf
FY2026,Q3,2025-11-19,NVIDIA Investor Relations,official_pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2026/q3/NVDA-Q3-2026-Earnings-Call-19-November-2025-5_00-PM-ET.pdf,transcripts/nvidia_fy2026_q3_2025-11-19.pdf
FY2026,Q4,2026-02-25,NVIDIA Investor Relations,official_pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2026/q4/NVDA-Q4-2026-Earnings-Call-25-February-2026-5_00-PM-ET.pdf,transcripts/nvidia_fy2026_q4_2026-02-25.pdf
FY2027,Q1,2026-05-20,NVIDIA Investor Relations,official_pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2027/q1/NVDA-Q1-2027-Earnings-Call-20-May-2026-5_00-PM-ET.pdf,transcripts/nvidia_fy2027_q1_2026-05-20.pdf
